time,Force,Displacement
         8.3500,  -5.308331,    0.087,
         8.4000,  -5.304161,    0.088,
         8.4500,  -5.300010,    0.088,
         8.5000,  -5.295775,    0.089,
         8.5500,  -5.291689,    0.089,
         8.6000,  -5.287541,    0.089,
         8.6500,  -5.283393,    0.090,
         8.7000,  -5.279180,    0.090,
         8.7500,  -5.275077,    0.091,
         8.8000,  -5.270897,    0.091,
         8.8500,  -5.266677,    0.091,
         8.9000,  -5.262634,    0.092,
         8.9500,  -5.258422,    0.092,
         9.0000,  -5.254103,    0.093,
         9.0500,  -5.249913,    0.093,
         9.1000,  -5.245817,    0.093,
         9.1500,  -5.241578,    0.093,
         9.2000,  -5.237473,    0.094,
         9.2500,  -5.233393,    0.095,
         9.3000,  -5.229113,    0.095,
         9.3500,  -5.225060,    0.096,
         9.4000,  -5.220868,    0.096,
         9.4500,  -5.216738,    0.096,
         9.5000,  -5.212631,    0.097,
         9.5500,  -5.208337,    0.097,
         9.6000,  -5.204057,    0.098,
         9.6500,  -5.199869,    0.098,
         9.7000,  -5.195785,    0.098,
         9.7500,  -5.191714,    0.099,
         9.8000,  -5.187418,    0.099,
         9.8500,  -5.183281,    0.100,
         9.9000,  -5.179155,    0.100,
         9.9500,  -5.174997,    0.100,
        10.0000,  -5.170753,    0.101,
        10.0500,  -5.166710,    0.101,
        10.1000,  -5.162647,    0.102,
        10.1500,  -5.158371,    0.102,
        10.2000,  -5.154135,    0.102,
        10.2500,  -5.149911,    0.103,
        10.3000,  -5.145682,    0.103,
        10.3500,  -5.141516,    0.104,
        10.4000,  -5.137460,    0.104,
        10.4500,  -5.133165,    0.104,
        10.5000,  -5.129186,    0.105,
        10.5500,  -5.124932,    0.106,
        10.6000,  -5.120783,    0.106,
        10.6500,  -5.116719,    0.106,
        10.7000,  -5.112561,    0.107,
        10.7500,  -5.108274,    0.107,
        10.8000,  -5.104094,    0.108,
        10.8500,  -5.099881,    0.108,
        10.9000,  -5.095724,    0.108,
        10.9500,  -5.091594,    0.109,
        11.0000,  -5.087410,    0.110,
        11.0500,  -5.083149,    0.110,
        11.1000,  -5.079011,    0.110,
        11.1500,  -5.075020,    0.111,
        11.2000,  -5.070860,    0.111,
        11.2500,  -5.066561,    0.112,
        11.3000,  -5.062517,    0.112,
        11.3500,  -5.058352,    0.112,
        11.4000,  -5.054123,    0.113,
        11.4500,  -5.049944,    0.114,
        11.5000,  -5.045608,    0.114,
        11.5500,  -5.041533,    0.114,
        11.6000,  -5.037354,    0.115,
        11.6500,  -5.033310,    0.116,
        11.7000,  -5.028961,    0.117,
        11.7500,  -5.024968,    0.117,
        11.8000,  -5.020749,    0.117,
        11.8500,  -5.016569,    0.117,
        11.9000,  -5.012460,    0.118,
        11.9500,  -5.008309,    0.119,
        12.0000,  -5.004145,    0.119,
        12.0500,  -4.999760,    0.119,
        12.1000,  -4.995732,    0.120,
        12.1500,  -4.991469,    0.121,
        12.2000,  -4.987350,    0.121,
        12.2500,  -4.983214,    0.121,
        12.3000,  -4.979029,    0.122,
        12.3500,  -4.974913,    0.123,
        12.4000,  -4.970714,    0.123,
        12.4500,  -4.966599,    0.123,
        12.5000,  -4.962336,    0.124,
        12.5500,  -4.958320,    0.125,
        12.6000,  -4.954053,    0.125,
        12.6500,  -4.949837,    0.125,
        12.7000,  -4.945699,    0.126,
        12.7500,  -4.941397,    0.127,
        12.8000,  -4.937351,    0.127,
        12.8500,  -4.933276,    0.127,
        12.9000,  -4.928945,    0.128,
        12.9500,  -4.924954,    0.129,
        13.0000,  -4.920704,    0.129,
        13.0500,  -4.916562,    0.129,
        13.1000,  -4.912405,    0.130,
        13.1500,  -4.908286,    0.131,
        13.2000,  -4.904064,    0.131,
        13.2500,  -4.899709,    0.131,
        13.3000,  -4.895669,    0.132,
        13.3500,  -4.891460,    0.133,
        13.4000,  -4.887278,    0.133,
        13.4500,  -4.883086,    0.133,
        13.5000,  -4.879067,    0.134,
        13.5500,  -4.874870,    0.135,
        13.6000,  -4.870688,    0.136,
        13.6500,  -4.866485,    0.136,
        13.7000,  -4.862418,    0.136,
        13.7500,  -4.858305,    0.137,
        13.8000,  -4.853889,    0.138,
        13.8500,  -4.849810,    0.138,
        13.9000,  -4.845559,    0.139,
        13.9500,  -4.841433,    0.140,
        14.0000,  -4.837348,    0.140,
        14.0500,  -4.833139,    0.140,
        14.1000,  -4.828920,    0.141,
        14.1500,  -4.824806,    0.142,
        14.2000,  -4.820685,    0.142,
        14.2500,  -4.816448,    0.143,
        14.3000,  -4.812311,    0.143,
        14.3500,  -4.808210,    0.144,
        14.4000,  -4.803873,    0.144,
        14.4500,  -4.799766,    0.145,
        14.5000,  -4.795610,    0.146,
        14.5500,  -4.791342,    0.146,
        14.6000,  -4.787292,    0.146,
        14.6500,  -4.783197,    0.148,
        14.7000,  -4.778832,    0.148,
        14.7500,  -4.774812,    0.149,
        14.8000,  -4.770633,    0.149,
        14.8500,  -4.766505,    0.150,
        14.9000,  -4.762283,    0.150,
        14.9500,  -4.758159,    0.151,
        15.0000,  -4.753916,    0.152,
        15.0500,  -4.749683,    0.152,
        15.1000,  -4.745454,    0.153,
        15.1500,  -4.741453,    0.153,
        15.2000,  -4.737212,    0.154,
        15.2500,  -4.733132,    0.155,
        15.3000,  -4.728893,    0.155,
        15.3500,  -4.724753,    0.156,
        15.4000,  -4.720663,    0.157,
        15.4500,  -4.716462,    0.157,
        15.5000,  -4.712305,    0.158,
        15.5500,  -4.707971,    0.159,
        15.6000,  -4.703766,    0.159,
        15.6500,  -4.699700,    0.160,
        15.7000,  -4.695536,    0.161,
        15.7500,  -4.691355,    0.161,
        15.8000,  -4.687224,    0.162,
        15.8500,  -4.683040,    0.163,
        15.9000,  -4.678888,    0.163,
        15.9500,  -4.674658,    0.164,
        16.0000,  -4.670629,    0.165,
        16.0500,  -4.666536,    0.165,
        16.1000,  -4.662242,    0.166,
        16.1500,  -4.658194,    0.167,
        16.2000,  -4.653720,    0.167,
        16.2500,  -4.649601,    0.168,
        16.3000,  -4.645487,    0.169,
        16.3500,  -4.641367,    0.169,
        16.4000,  -4.637216,    0.170,
        16.4500,  -4.633066,    0.171,
        16.5000,  -4.628895,    0.172,
        16.5500,  -4.624696,    0.172,
        16.6000,  -4.620542,    0.173,
        16.6500,  -4.616419,    0.173,
        16.7000,  -4.612133,    0.175,
        16.7500,  -4.607962,    0.175,
        16.8000,  -4.603751,    0.175,
        16.8500,  -4.599700,    0.177,
        16.9000,  -4.595545,    0.178,
        16.9500,  -4.591358,    0.178,
        17.0000,  -4.587141,    0.179,
        17.0500,  -4.583007,    0.180,
        17.1000,  -4.578884,    0.180,
        17.1500,  -4.574689,    0.181,
        17.2000,  -4.570538,    0.182,
        17.2500,  -4.566394,    0.182,
        17.3000,  -4.562052,    0.183,
        17.3500,  -4.557925,    0.184,
        17.4000,  -4.553762,    0.184,
        17.4500,  -4.549524,    0.185,
        17.5000,  -4.545495,    0.186,
        17.5500,  -4.541375,    0.186,
        17.6000,  -4.537065,    0.187,
        17.6500,  -4.533080,    0.188,
        17.7000,  -4.528860,    0.189,
        17.7500,  -4.524686,    0.190,
        17.8000,  -4.520573,    0.190,
        17.8500,  -4.516207,    0.191,
        17.9000,  -4.512122,    0.192,
        17.9500,  -4.508034,    0.192,
        18.0000,  -4.503692,    0.193,
        18.0500,  -4.499574,    0.194,
        18.1000,  -4.495456,    0.194,
        18.1500,  -4.491401,    0.195,
        18.2000,  -4.487189,    0.196,
        18.2500,  -4.483074,    0.196,
        18.3000,  -4.478853,    0.198,
        18.3500,  -4.474830,    0.199,
        18.4000,  -4.470392,    0.199,
        18.4500,  -4.466162,    0.200,
        18.5000,  -4.462017,    0.201,
        18.5500,  -4.457896,    0.201,
        18.6000,  -4.453938,    0.202,
        18.6500,  -4.449658,    0.203,
        18.7000,  -4.445446,    0.203,
        18.7500,  -4.441217,    0.205,
        18.8000,  -4.437171,    0.205,
        18.8500,  -4.433062,    0.205,
        18.9000,  -4.428685,    0.207,
        18.9500,  -4.424867,    0.207,
        19.0000,  -4.420469,    0.208,
        19.0500,  -4.416156,    0.209,
        19.1000,  -4.412080,    0.209,
        19.1500,  -4.408043,    0.210,
        19.2000,  -4.403705,    0.211,
        19.2500,  -4.399560,    0.211,
        19.3000,  -4.395528,    0.213,
        19.3500,  -4.391296,    0.213,
        19.4000,  -4.387152,    0.214,
        19.4500,  -4.383006,    0.215,
        19.5000,  -4.378845,    0.215,
        19.5500,  -4.374765,    0.216,
        19.6000,  -4.370229,    0.217,
        19.6500,  -4.366150,    0.217,
        19.7000,  -4.362162,    0.219,
        19.7500,  -4.358080,    0.220,
        19.8000,  -4.353683,    0.220,
        19.8500,  -4.349748,    0.221,
        19.9000,  -4.345337,    0.222,
        19.9500,  -4.341290,    0.222,
        20.0000,  -4.337170,    0.223,
        20.0500,  -4.333021,    0.224,
        20.1000,  -4.328820,    0.225,
        20.1500,  -4.324571,    0.226,
        20.2000,  -4.320392,    0.226,
        20.2500,  -4.316274,    0.227,
        20.3000,  -4.312133,    0.228,
        20.3500,  -4.307882,    0.228,
        20.4000,  -4.303801,    0.229,
        20.4500,  -4.299582,    0.230,
        20.5000,  -4.295491,    0.231,
        20.5500,  -4.291350,    0.232,
        20.6000,  -4.287176,    0.232,
        20.6500,  -4.282953,    0.233,
        20.7000,  -4.278756,    0.234,
        20.7500,  -4.274477,    0.234,
        20.8000,  -4.270393,    0.236,
        20.8500,  -4.266210,    0.236,
        20.9000,  -4.262116,    0.237,
        20.9500,  -4.257893,    0.238,
        21.0000,  -4.253799,    0.238,
        21.0500,  -4.249556,    0.239,
        21.1000,  -4.245467,    0.240,
        21.1500,  -4.241390,    0.241,
        21.2000,  -4.237120,    0.241,
        21.2500,  -4.232850,    0.243,
        21.3000,  -4.228726,    0.243,
        21.3500,  -4.224504,    0.244,
        21.4000,  -4.220349,    0.245,
        21.4500,  -4.216168,    0.246,
        21.5000,  -4.212106,    0.247,
        21.5500,  -4.207876,    0.247,
        21.6000,  -4.203772,    0.248,
        21.6500,  -4.199591,    0.249,
        21.7000,  -4.195444,    0.250,
        21.7500,  -4.191268,    0.251,
        21.8000,  -4.187251,    0.251,
        21.8500,  -4.182806,    0.252,
        21.9000,  -4.178527,    0.253,
        21.9500,  -4.174566,    0.254,
        22.0000,  -4.170384,    0.255,
        22.0500,  -4.166205,    0.255,
        22.1000,  -4.162067,    0.256,
        22.1500,  -4.157839,    0.257,
        22.2000,  -4.153816,    0.257,
        22.2500,  -4.149603,    0.259,
        22.3000,  -4.145556,    0.259,
        22.3500,  -4.141273,    0.260,
        22.4000,  -4.136882,    0.262,
        22.4500,  -4.132820,    0.262,
        22.5000,  -4.128716,    0.263,
        22.5500,  -4.124483,    0.264,
        22.6000,  -4.120357,    0.265,
        22.6500,  -4.116188,    0.266,
        22.7000,  -4.112017,    0.266,
        22.7500,  -4.108022,    0.267,
        22.8000,  -4.103726,    0.268,
        22.8500,  -4.099497,    0.268,
        22.9000,  -4.095520,    0.268,
        22.9500,  -4.091102,    0.268,
        23.0000,  -4.086981,    0.268,
        23.0500,  -4.082726,    0.268,
        23.1000,  -4.078669,    0.268,
        23.1500,  -4.074490,    0.269,
        23.2000,  -4.070349,    0.270,
        23.2500,  -4.066271,    0.270,
        23.3000,  -4.062042,    0.271,
        23.3500,  -4.057897,    0.272,
        23.4000,  -4.053683,    0.272,
        23.4500,  -4.049566,    0.273,
        23.5000,  -4.045472,    0.274,
        23.5500,  -4.041071,    0.274,
        23.6000,  -4.036931,    0.275,
        23.6500,  -4.032778,    0.276,
        23.7000,  -4.028648,    0.277,
        23.7500,  -4.024574,    0.278,
        23.8000,  -4.020309,    0.279,
        23.8500,  -4.016219,    0.280,
        23.9000,  -4.012060,    0.280,
        23.9500,  -4.007814,    0.281,
        24.0000,  -4.003755,    0.283,
        24.0500,  -3.999597,    0.283,
        24.1000,  -3.995224,    0.284,
        24.1500,  -3.991101,    0.285,
        24.2000,  -3.987007,    0.286,
        24.2500,  -3.982706,    0.287,
        24.3000,  -3.978659,    0.287,
        24.3500,  -3.974516,    0.288,
        24.4000,  -3.970225,    0.289,
        24.4500,  -3.966202,    0.290,
        24.5000,  -3.962145,    0.291,
        24.5500,  -3.957913,    0.292,
        24.6000,  -3.953705,    0.293,
        24.6500,  -3.949402,    0.294,
        24.7000,  -3.945292,    0.295,
        24.7500,  -3.941083,    0.296,
        24.8000,  -3.937004,    0.297,
        24.8500,  -3.932825,    0.297,
        24.9000,  -3.928594,    0.298,
        24.9500,  -3.924534,    0.299,
        25.0000,  -3.920340,    0.300,
        25.0500,  -3.916121,    0.301,
        25.1000,  -3.912190,    0.302,
        25.1500,  -3.907803,    0.303,
        25.2000,  -3.903742,    0.304,
        25.2500,  -3.899368,    0.305,
        25.3000,  -3.895148,    0.306,
        25.3500,  -3.891115,    0.307,
        25.4000,  -3.886970,    0.308,
        25.4500,  -3.882810,    0.309,
        25.5000,  -3.878601,    0.310,
        25.5500,  -3.874576,    0.311,
        25.6000,  -3.870303,    0.312,
        25.6500,  -3.866227,    0.312,
        25.7000,  -3.862045,    0.314,
        25.7500,  -3.857924,    0.314,
        25.8000,  -3.853541,    0.316,
        25.8500,  -3.849355,    0.317,
        25.9000,  -3.845331,    0.318,
        25.9500,  -3.841074,    0.319,
        26.0000,  -3.836966,    0.320,
        26.0500,  -3.832905,    0.320,
        26.1000,  -3.828491,    0.322,
        26.1500,  -3.824614,    0.322,
        26.2000,  -3.820338,    0.323,
        26.2500,  -3.816343,    0.324,
        26.3000,  -3.811929,    0.325,
        26.3500,  -3.807784,    0.326,
        26.4000,  -3.803532,    0.327,
        26.4500,  -3.799378,    0.328,
        26.5000,  -3.795300,    0.329,
        26.5500,  -3.791120,    0.330,
        26.6000,  -3.787067,    0.331,
        26.6500,  -3.782666,    0.332,
        26.7000,  -3.778648,    0.333,
        26.7500,  -3.774559,    0.333,
        26.8000,  -3.770396,    0.335,
        26.8500,  -3.766202,    0.335,
        26.9000,  -3.761993,    0.336,
        26.9500,  -3.757612,    0.337,
        27.0000,  -3.753570,    0.338,
        27.0500,  -3.749411,    0.339,
        27.1000,  -3.745250,    0.339,
        27.1500,  -3.741008,    0.341,
        27.2000,  -3.736997,    0.341,
        27.2500,  -3.732794,    0.342,
        27.3000,  -3.728728,    0.343,
        27.3500,  -3.724495,    0.344,
        27.4000,  -3.720392,    0.345,
        27.4500,  -3.716216,    0.346,
        27.5000,  -3.711979,    0.347,
        27.5500,  -3.707669,    0.348,
        27.6000,  -3.703561,    0.349,
        27.6500,  -3.699384,    0.350,
