time,Force,Displacement
         8.3500,  -5.308155,    0.102,
         8.4000,  -5.304063,    0.102,
         8.4500,  -5.299949,    0.102,
         8.5000,  -5.295761,    0.103,
         8.5500,  -5.291585,    0.103,
         8.6000,  -5.287375,    0.104,
         8.6500,  -5.283325,    0.104,
         8.7000,  -5.279118,    0.104,
         8.7500,  -5.274890,    0.105,
         8.8000,  -5.270890,    0.106,
         8.8500,  -5.266684,    0.106,
         8.9000,  -5.262497,    0.106,
         8.9500,  -5.258241,    0.107,
         9.0000,  -5.254033,    0.108,
         9.0500,  -5.249817,    0.108,
         9.1000,  -5.245798,    0.108,
         9.1500,  -5.241519,    0.108,
         9.2000,  -5.237316,    0.109,
         9.2500,  -5.233232,    0.110,
         9.3000,  -5.229046,    0.110,
         9.3500,  -5.224945,    0.110,
         9.4000,  -5.220795,    0.111,
         9.4500,  -5.216695,    0.112,
         9.5000,  -5.212451,    0.112,
         9.5500,  -5.208279,    0.112,
         9.6000,  -5.203973,    0.113,
         9.6500,  -5.199881,    0.114,
         9.7000,  -5.195726,    0.114,
         9.7500,  -5.191524,    0.114,
         9.8000,  -5.187373,    0.115,
         9.8500,  -5.183174,    0.116,
         9.9000,  -5.179100,    0.117,
         9.9500,  -5.174850,    0.117,
        10.0000,  -5.170876,    0.117,
        10.0500,  -5.166595,    0.118,
        10.1000,  -5.162418,    0.119,
        10.1500,  -5.158325,    0.119,
        10.2000,  -5.154070,    0.119,
        10.2500,  -5.149794,    0.120,
        10.3000,  -5.145570,    0.121,
        10.3500,  -5.141540,    0.121,
        10.4000,  -5.137304,    0.121,
        10.4500,  -5.133233,    0.122,
        10.5000,  -5.129039,    0.123,
        10.5500,  -5.124892,    0.123,
        10.6000,  -5.120757,    0.123,
        10.6500,  -5.116603,    0.124,
        10.7000,  -5.112428,    0.125,
        10.7500,  -5.108277,    0.125,
        10.8000,  -5.103964,    0.125,
        10.8500,  -5.099746,    0.126,
        10.9000,  -5.095709,    0.127,
        10.9500,  -5.091465,    0.127,
        11.0000,  -5.087346,    0.128,
        11.0500,  -5.083229,    0.129,
        11.1000,  -5.078968,    0.129,
        11.1500,  -5.074891,    0.129,
        11.2000,  -5.070766,    0.130,
        11.2500,  -5.066471,    0.131,
        11.3000,  -5.062366,    0.131,
        11.3500,  -5.058297,    0.132,
        11.4000,  -5.054089,    0.132,
        11.4500,  -5.049788,    0.133,
        11.5000,  -5.045520,    0.133,
        11.5500,  -5.041543,    0.134,
        11.6000,  -5.037382,    0.135,
        11.6500,  -5.033129,    0.136,
        11.7000,  -5.028964,    0.136,
        11.7500,  -5.024822,    0.136,
        11.8000,  -5.020652,    0.137,
        11.8500,  -5.016686,    0.138,
        11.9000,  -5.012315,    0.138,
        11.9500,  -5.008161,    0.139,
        12.0000,  -5.004048,    0.140,
        12.0500,  -4.999852,    0.140,
        12.1000,  -4.995590,    0.141,
        12.1500,  -4.991514,    0.142,
        12.2000,  -4.987272,    0.142,
        12.2500,  -4.983181,    0.142,
        12.3000,  -4.978873,    0.144,
        12.3500,  -4.974849,    0.144,
        12.4000,  -4.970714,    0.144,
        12.4500,  -4.966582,    0.145,
        12.5000,  -4.962361,    0.146,
        12.5500,  -4.958253,    0.146,
        12.6000,  -4.953921,    0.147,
        12.6500,  -4.949731,    0.148,
        12.7000,  -4.945577,    0.148,
        12.7500,  -4.941446,    0.149,
        12.8000,  -4.937198,    0.150,
        12.8500,  -4.933150,    0.150,
        12.9000,  -4.928954,    0.151,
        12.9500,  -4.924895,    0.152,
        13.0000,  -4.920610,    0.152,
        13.0500,  -4.916534,    0.153,
        13.1000,  -4.912322,    0.154,
        13.1500,  -4.908232,    0.154,
        13.2000,  -4.903939,    0.155,
        13.2500,  -4.899745,    0.156,
        13.3000,  -4.895646,    0.157,
        13.3500,  -4.891326,    0.157,
        13.4000,  -4.887207,    0.158,
        13.4500,  -4.883189,    0.159,
        13.5000,  -4.878979,    0.159,
        13.5500,  -4.874875,    0.160,
        13.6000,  -4.870619,    0.161,
        13.6500,  -4.866459,    0.161,
