time,Force,Displacement
         0.0000,  -5.999921,    0.047,
         0.0500,  -5.999350,    0.047,
         0.1000,  -5.996494,    0.047,
         0.1500,  -5.992681,    0.047,
         0.2000,  -5.988568,    0.047,
         0.2500,  -5.984424,    0.047,
         0.3000,  -5.980146,    0.048,
         0.3500,  -5.976047,    0.048,
         0.4000,  -5.971778,    0.049,
         0.4500,  -5.967656,    0.049,
         0.5000,  -5.963483,    0.049,
         0.5500,  -5.959387,    0.049,
         0.6000,  -5.955208,    0.049,
         0.6500,  -5.950935,    0.050,
         0.7000,  -5.946853,    0.051,
         0.7500,  -5.942562,    0.051,
         0.8000,  -5.938440,    0.051,
         0.8500,  -5.934117,    0.051,
         0.9000,  -5.929985,    0.051,
         0.9500,  -5.925690,    0.052,
         1.0000,  -5.921639,    0.052,
         1.0500,  -5.917487,    0.053,
         1.1000,  -5.913352,    0.053,
         1.1500,  -5.908999,    0.054,
         1.2000,  -5.904896,    0.054,
         1.2500,  -5.900824,    0.054,
         1.3000,  -5.896599,    0.054,
         1.3500,  -5.892467,    0.055,
         1.4000,  -5.888132,    0.055,
         1.4500,  -5.884063,    0.055,
         1.5000,  -5.880029,    0.056,
         1.5500,  -5.875710,    0.056,
         1.6000,  -5.871446,    0.056,
         1.6500,  -5.867170,    0.056,
         1.7000,  -5.863221,    0.057,
         1.7500,  -5.858909,    0.057,
         1.8000,  -5.854851,    0.057,
         1.8500,  -5.850589,    0.058,
         1.9000,  -5.846377,    0.058,
         1.9500,  -5.842242,    0.058,
         2.0000,  -5.838232,    0.058,
         2.0500,  -5.833873,    0.059,
         2.1000,  -5.829879,    0.059,
         2.1500,  -5.825583,    0.059,
         2.2000,  -5.821543,    0.060,
         2.2500,  -5.817262,    0.060,
         2.3000,  -5.813070,    0.060,
         2.3500,  -5.808827,    0.060,
         2.4000,  -5.804486,    0.060,
         2.4500,  -5.800433,    0.061,
         2.5000,  -5.796519,    0.061,
         2.5500,  -5.792170,    0.062,
         2.6000,  -5.788026,    0.062,
         2.6500,  -5.783850,    0.062,
         2.7000,  -5.779610,    0.062,
         2.7500,  -5.775453,    0.063,
         2.8000,  -5.771443,    0.063,
         2.8500,  -5.767234,    0.063,
         2.9000,  -5.763080,    0.064,
         2.9500,  -5.758960,    0.064,
         3.0000,  -5.754610,    0.064,
         3.0500,  -5.750380,    0.064,
         3.1000,  -5.746206,    0.065,
         3.1500,  -5.742094,    0.065,
         3.2000,  -5.737944,    0.066,
         3.2500,  -5.733715,    0.066,
         3.3000,  -5.729621,    0.066,
         3.3500,  -5.725424,    0.066,
         3.4000,  -5.721392,    0.067,
         3.4500,  -5.717108,    0.067,
         3.5000,  -5.713051,    0.068,
         3.5500,  -5.708772,    0.068,
         3.6000,  -5.704778,    0.068,
         3.6500,  -5.700396,    0.068,
         3.7000,  -5.696145,    0.069,
         3.7500,  -5.692080,    0.070,
         3.8000,  -5.687945,    0.070,
         3.8500,  -5.683632,    0.070,
         3.9000,  -5.679494,    0.070,
         3.9500,  -5.675381,    0.070,
         4.0000,  -5.671178,    0.071,
         4.0500,  -5.667047,    0.071,
         4.1000,  -5.662888,    0.072,
         4.1500,  -5.658679,    0.072,
         4.2000,  -5.654647,    0.072,
         4.2500,  -5.650470,    0.072,
         4.3000,  -5.646336,    0.073,
         4.3500,  -5.642044,    0.073,
         4.4000,  -5.637839,    0.074,
         4.4500,  -5.633672,    0.074,
         4.5000,  -5.629434,    0.075,
         4.5500,  -5.625274,    0.075,
         4.6000,  -5.621191,    0.075,
         4.6500,  -5.616966,    0.076,
         4.7000,  -5.612849,    0.076,
         4.7500,  -5.608661,    0.077,
         4.8000,  -5.604605,    0.077,
         4.8500,  -5.600377,    0.077,
         4.9000,  -5.596083,    0.077,
         4.9500,  -5.592018,    0.078,
         5.0000,  -5.587990,    0.078,
         5.0500,  -5.583706,    0.079,
         5.1000,  -5.579313,    0.079,
         5.1500,  -5.575182,    0.079,
         5.2000,  -5.571136,    0.080,
         5.2500,  -5.566834,    0.080,
         5.3000,  -5.562822,    0.081,
         5.3500,  -5.558646,    0.081,
         5.4000,  -5.554352,    0.081,
         5.4500,  -5.550335,    0.082,
         5.5000,  -5.546082,    0.082,
         5.5500,  -5.541987,    0.083,
         5.6000,  -5.537952,    0.083,
         5.6500,  -5.533712,    0.083,
         5.7000,  -5.529458,    0.083,
         5.7500,  -5.525156,    0.084,
         5.8000,  -5.521065,    0.085,
         5.8500,  -5.516806,    0.085,
