time,Force,Displacement
         8.3500,  -5.307780,    0.111,
         8.4000,  -5.303665,    0.112,
         8.4500,  -5.299499,    0.112,
         8.5000,  -5.295419,    0.114,
         8.5500,  -5.291156,    0.114,
         8.6000,  -5.287086,    0.115,
         8.6500,  -5.282886,    0.117,
         8.7000,  -5.278792,    0.117,
         8.7500,  -5.274632,    0.119,
         8.8000,  -5.270412,    0.120,
         8.8500,  -5.266201,    0.121,
         8.9000,  -5.262160,    0.122,
         8.9500,  -5.257951,    0.123,
         9.0000,  -5.253582,    0.124,
         9.0500,  -5.249483,    0.125,
         9.1000,  -5.245281,    0.126,
         9.1500,  -5.241185,    0.127,
         9.2000,  -5.237073,    0.127,
         9.2500,  -5.232935,    0.129,
         9.3000,  -5.228634,    0.130,
         9.3500,  -5.224532,    0.131,
         9.4000,  -5.220479,    0.132,
         9.4500,  -5.216200,    0.133,
         9.5000,  -5.212071,    0.134,
         9.5500,  -5.207936,    0.136,
         9.6000,  -5.203553,    0.137,
         9.6500,  -5.199464,    0.138,
         9.7000,  -5.195327,    0.140,
         9.7500,  -5.191168,    0.140,
         9.8000,  -5.187036,    0.142,
         9.8500,  -5.182871,    0.143,
         9.9000,  -5.178666,    0.144,
         9.9500,  -5.174539,    0.146,
        10.0000,  -5.170371,    0.147,
        10.0500,  -5.166141,    0.148,
        10.1000,  -5.162096,    0.149,
        10.1500,  -5.158026,    0.150,
        10.2000,  -5.153594,    0.152,
        10.2500,  -5.149393,    0.153,
        10.3000,  -5.145262,    0.154,
        10.3500,  -5.141141,    0.156,
        10.4000,  -5.136987,    0.157,
        10.4500,  -5.132810,    0.159,
        10.5000,  -5.128616,    0.160,
        10.5500,  -5.124569,    0.161,
        10.6000,  -5.120371,    0.163,
        10.6500,  -5.116196,    0.164,
        10.7000,  -5.112022,    0.165,
        10.7500,  -5.107909,    0.167,
        10.8000,  -5.103623,    0.168,
        10.8500,  -5.099398,    0.170,
        10.9000,  -5.095328,    0.171,
        10.9500,  -5.091095,    0.173,
        11.0000,  -5.086937,    0.174,
        11.0500,  -5.082817,    0.175,
        11.1000,  -5.078639,    0.178,
        11.1500,  -5.074518,    0.179,
        11.2000,  -5.070322,    0.180,
        11.2500,  -5.066190,    0.182,
        11.3000,  -5.061967,    0.184,
        11.3500,  -5.057851,    0.185,
        11.4000,  -5.053710,    0.187,
        11.4500,  -5.049467,    0.188,
        11.5000,  -5.045224,    0.190,
