time,Force,Displacement
         8.3500,  -5.308248,    0.211,
         8.4000,  -5.304133,    0.213,
         8.4500,  -5.300062,    0.214,
         8.5000,  -5.295879,    0.215,
         8.5500,  -5.291597,    0.217,
         8.6000,  -5.287421,    0.218,
         8.6500,  -5.283528,    0.220,
         8.7000,  -5.279263,    0.221,
         8.7500,  -5.275055,    0.222,
         8.8000,  -5.270931,    0.224,
         8.8500,  -5.266827,    0.226,
         8.9000,  -5.262522,    0.227,
         8.9500,  -5.258363,    0.228,
         9.0000,  -5.254050,    0.230,
         9.0500,  -5.250008,    0.232,
         9.1000,  -5.245843,    0.233,
         9.1500,  -5.241637,    0.234,
         9.2000,  -5.237362,    0.236,
         9.2500,  -5.233356,    0.238,
         9.3000,  -5.229211,    0.239,
         9.3500,  -5.225096,    0.241,
         9.4000,  -5.220848,    0.242,
         9.4500,  -5.216681,    0.244,
         9.5000,  -5.212606,    0.245,
         9.5500,  -5.208471,    0.247,
         9.6000,  -5.204163,    0.249,
         9.6500,  -5.199930,    0.250,
         9.7000,  -5.195718,    0.251,
         9.7500,  -5.191623,    0.253,
         9.8000,  -5.187440,    0.255,
         9.8500,  -5.183246,    0.257,
         9.9000,  -5.179226,    0.258,
         9.9500,  -5.174988,    0.259,
        10.0000,  -5.170877,    0.262,
        10.0500,  -5.166619,    0.263,
        10.1000,  -5.162604,    0.264,
        10.1500,  -5.158348,    0.266,
        10.2000,  -5.154080,    0.268,
        10.2500,  -5.149865,    0.270,
        10.3000,  -5.145774,    0.271,
        10.3500,  -5.141579,    0.273,
        10.4000,  -5.137357,    0.274,
        10.4500,  -5.133262,    0.276,
        10.5000,  -5.129247,    0.278,
        10.5500,  -5.125028,    0.280,
        10.6000,  -5.120714,    0.281,
        10.6500,  -5.116651,    0.283,
        10.7000,  -5.112591,    0.285,
        10.7500,  -5.108334,    0.287,
        10.8000,  -5.104193,    0.288,
        10.8500,  -5.100012,    0.290,
        10.9000,  -5.095603,    0.292,
        10.9500,  -5.091567,    0.293,
        11.0000,  -5.087448,    0.295,
        11.0500,  -5.083165,    0.297,
        11.1000,  -5.079194,    0.299,
        11.1500,  -5.074899,    0.301,
        11.2000,  -5.070766,    0.302,
        11.2500,  -5.066647,    0.304,
        11.3000,  -5.062524,    0.306,
        11.3500,  -5.058307,    0.308,
        11.4000,  -5.054187,    0.310,
        11.4500,  -5.049942,    0.312,
        11.5000,  -5.045660,    0.314,
        11.5500,  -5.041529,    0.315,
        11.6000,  -5.037495,    0.317,
        11.6500,  -5.033182,    0.319,
        11.7000,  -5.029040,    0.320,
        11.7500,  -5.024920,    0.322,
        11.8000,  -5.020770,    0.325,
        11.8500,  -5.016637,    0.327,
        11.9000,  -5.012504,    0.328,
        11.9500,  -5.008311,    0.330,
        12.0000,  -5.004083,    0.332,
        12.0500,  -4.999854,    0.334,
        12.1000,  -4.995701,    0.336,
        12.1500,  -4.991562,    0.338,
        12.2000,  -4.987360,    0.340,
        12.2500,  -4.983197,    0.342,
        12.3000,  -4.979069,    0.343,
        12.3500,  -4.974949,    0.346,
        12.4000,  -4.970821,    0.348,
        12.4500,  -4.966545,    0.350,
        12.5000,  -4.962357,    0.352,
        12.5500,  -4.958390,    0.354,
        12.6000,  -4.954172,    0.356,
        12.6500,  -4.949863,    0.358,
        12.7000,  -4.945568,    0.360,
        12.7500,  -4.941607,    0.362,
        12.8000,  -4.937361,    0.364,
        12.8500,  -4.933175,    0.366,
        12.9000,  -4.928971,    0.368,
        12.9500,  -4.924992,    0.370,
        13.0000,  -4.920705,    0.372,
        13.0500,  -4.916621,    0.375,
        13.1000,  -4.912393,    0.377,
        13.1500,  -4.908257,    0.379,
        13.2000,  -4.904027,    0.381,
        13.2500,  -4.899797,    0.383,
        13.3000,  -4.895672,    0.385,
        13.3500,  -4.891519,    0.387,
        13.4000,  -4.887273,    0.389,
        13.4500,  -4.883135,    0.391,
        13.5000,  -4.879035,    0.393,
        13.5500,  -4.874935,    0.395,
        13.6000,  -4.870759,    0.397,
        13.6500,  -4.866405,    0.400,
        13.7000,  -4.862435,    0.402,
        13.7500,  -4.858264,    0.404,
        13.8000,  -4.853927,    0.406,
        13.8500,  -4.849712,    0.408,
        13.9000,  -4.845683,    0.410,
        13.9500,  -4.841401,    0.413,
        14.0000,  -4.837160,    0.415,
        14.0500,  -4.833355,    0.416,
        14.1000,  -4.828915,    0.419,
        14.1500,  -4.824902,    0.421,
        14.2000,  -4.820680,    0.423,
        14.2500,  -4.816458,    0.425,
        14.3000,  -4.812337,    0.428,
        14.3500,  -4.808406,    0.430,
        14.4000,  -4.803761,    0.432,
        14.4500,  -4.799811,    0.434,
        14.5000,  -4.795488,    0.436,
        14.5500,  -4.791372,    0.438,
        14.6000,  -4.787344,    0.440,
        14.6500,  -4.783117,    0.443,
        14.7000,  -4.778863,    0.445,
        14.7500,  -4.774849,    0.447,
        14.8000,  -4.770654,    0.449,
        14.8500,  -4.766487,    0.452,
        14.9000,  -4.762406,    0.454,
        14.9500,  -4.758074,    0.456,
        15.0000,  -4.753934,    0.459,
        15.0500,  -4.749737,    0.461,
        15.1000,  -4.745417,    0.463,
        15.1500,  -4.741426,    0.465,
        15.2000,  -4.737328,    0.467,
        15.2500,  -4.733043,    0.470,
        15.3000,  -4.728961,    0.472,
        15.3500,  -4.724781,    0.474,
        15.4000,  -4.720563,    0.476,
        15.4500,  -4.716454,    0.479,
        15.5000,  -4.712372,    0.481,
        15.5500,  -4.708004,    0.483,
        15.6000,  -4.703729,    0.486,
        15.6500,  -4.699650,    0.488,
        15.7000,  -4.695627,    0.490,
        15.7500,  -4.691505,    0.493,
        15.8000,  -4.687148,    0.495,
        15.8500,  -4.683090,    0.497,
        15.9000,  -4.678806,    0.499,
        15.9500,  -4.674882,    0.501,
        16.0000,  -4.670677,    0.503,
        16.0500,  -4.666432,    0.506,
        16.1000,  -4.662303,    0.508,
        16.1500,  -4.657980,    0.511,
        16.2000,  -4.653771,    0.514,
        16.2500,  -4.649595,    0.516,
        16.3000,  -4.645553,    0.518,
        16.3500,  -4.641381,    0.520,
        16.4000,  -4.637176,    0.522,
        16.4500,  -4.633040,    0.524,
        16.5000,  -4.629019,    0.526,
        16.5500,  -4.624756,    0.529,
        16.6000,  -4.620544,    0.531,
        16.6500,  -4.616464,    0.533,
        16.7000,  -4.612124,    0.536,
        16.7500,  -4.608007,    0.539,
        16.8000,  -4.603774,    0.541,
        16.8500,  -4.599658,    0.543,
        16.9000,  -4.595540,    0.545,
        16.9500,  -4.591356,    0.547,
        17.0000,  -4.587081,    0.549,
        17.0500,  -4.583036,    0.552,
        17.1000,  -4.578953,    0.554,
        17.1500,  -4.574735,    0.557,
        17.2000,  -4.570557,    0.559,
        17.2500,  -4.566370,    0.562,
        17.3000,  -4.562141,    0.564,
        17.3500,  -4.557896,    0.566,
        17.4000,  -4.553725,    0.568,
        17.4500,  -4.549588,    0.571,
        17.5000,  -4.545529,    0.573,
        17.5500,  -4.541367,    0.575,
        17.6000,  -4.537222,    0.578,
        17.6500,  -4.533015,    0.580,
        17.7000,  -4.528862,    0.583,
        17.7500,  -4.524705,    0.585,
        17.8000,  -4.520585,    0.587,
        17.8500,  -4.516300,    0.589,
        17.9000,  -4.512072,    0.592,
        17.9500,  -4.507932,    0.595,
        18.0000,  -4.503872,    0.597,
        18.0500,  -4.499558,    0.600,
        18.1000,  -4.495445,    0.602,
        18.1500,  -4.491287,    0.604,
        18.2000,  -4.487217,    0.606,
        18.2500,  -4.482976,    0.609,
        18.3000,  -4.478946,    0.612,
        18.3500,  -4.474749,    0.615,
        18.4000,  -4.470447,    0.617,
        18.4500,  -4.466352,    0.620,
        18.5000,  -4.462037,    0.623,
        18.5500,  -4.457952,    0.625,
        18.6000,  -4.453762,    0.628,
        18.6500,  -4.449723,    0.630,
        18.7000,  -4.445492,    0.633,
        18.7500,  -4.441263,    0.636,
        18.8000,  -4.437313,    0.638,
        18.8500,  -4.433013,    0.641,
        18.9000,  -4.428946,    0.644,
        18.9500,  -4.424659,    0.647,
        19.0000,  -4.420438,    0.650,
        19.0500,  -4.416267,    0.652,
        19.1000,  -4.412054,    0.655,
        19.1500,  -4.407923,    0.658,
        19.2000,  -4.403767,    0.661,
        19.2500,  -4.399648,    0.663,
        19.3000,  -4.395497,    0.666,
        19.3500,  -4.391405,    0.669,
        19.4000,  -4.387180,    0.672,
        19.4500,  -4.383061,    0.675,
        19.5000,  -4.378947,    0.678,
        19.5500,  -4.374632,    0.681,
        19.6000,  -4.370330,    0.684,
        19.6500,  -4.366290,    0.686,
        19.7000,  -4.361982,    0.690,
        19.7500,  -4.357931,    0.692,
        19.8000,  -4.353890,    0.695,
        19.8500,  -4.349644,    0.699,
        19.9000,  -4.345418,    0.701,
        19.9500,  -4.341346,    0.704,
        20.0000,  -4.337202,    0.707,
        20.0500,  -4.333018,    0.710,
        20.1000,  -4.328831,    0.713,
        20.1500,  -4.324545,    0.717,
        20.2000,  -4.320415,    0.720,
        20.2500,  -4.316236,    0.722,
        20.3000,  -4.312150,    0.726,
        20.3500,  -4.307912,    0.729,
        20.4000,  -4.303743,    0.732,
        20.4500,  -4.299616,    0.735,
        20.5000,  -4.295522,    0.738,
        20.5500,  -4.291466,    0.741,
        20.6000,  -4.287119,    0.745,
        20.6500,  -4.283079,    0.747,
        20.7000,  -4.278755,    0.751,
        20.7500,  -4.274454,    0.754,
        20.8000,  -4.270497,    0.757,
        20.8500,  -4.266319,    0.760,
        20.9000,  -4.262013,    0.764,
        20.9500,  -4.257938,    0.766,
        21.0000,  -4.253852,    0.770,
        21.0500,  -4.249685,    0.772,
        21.1000,  -4.245392,    0.776,
        21.1500,  -4.241391,    0.778,
        21.2000,  -4.237284,    0.782,
        21.2500,  -4.232845,    0.785,
        21.3000,  -4.228758,    0.789,
        21.3500,  -4.224482,    0.792,
        21.4000,  -4.220442,    0.795,
        21.4500,  -4.216265,    0.799,
        21.5000,  -4.212095,    0.802,
        21.5500,  -4.207987,    0.806,
        21.6000,  -4.203754,    0.808,
        21.6500,  -4.199709,    0.812,
        21.7000,  -4.195450,    0.815,
        21.7500,  -4.191272,    0.818,
        21.8000,  -4.187142,    0.822,
        21.8500,  -4.182871,    0.825,
        21.9000,  -4.178788,    0.828,
        21.9500,  -4.174483,    0.831,
        22.0000,  -4.170476,    0.835,
        22.0500,  -4.166124,    0.838,
        22.1000,  -4.162164,    0.841,
        22.1500,  -4.157964,    0.845,
        22.2000,  -4.153703,    0.849,
        22.2500,  -4.149708,    0.852,
        22.3000,  -4.145462,    0.855,
        22.3500,  -4.141365,    0.858,
        22.4000,  -4.137028,    0.862,
        22.4500,  -4.132834,    0.866,
        22.5000,  -4.128770,    0.869,
        22.5500,  -4.124523,    0.873,
        22.6000,  -4.120331,    0.877,
        22.6500,  -4.116231,    0.880,
        22.7000,  -4.112174,    0.883,
        22.7500,  -4.107887,    0.888,
        22.8000,  -4.103736,    0.892,
        22.8500,  -4.099589,    0.895,
        22.9000,  -4.095477,    0.899,
        22.9500,  -4.091228,    0.902,
        23.0000,  -4.087024,    0.907,
        23.0500,  -4.082801,    0.911,
        23.1000,  -4.078672,    0.914,
        23.1500,  -4.074479,    0.918,
        23.2000,  -4.070455,    0.922,
        23.2500,  -4.066287,    0.926,
        23.3000,  -4.061986,    0.930,
        23.3500,  -4.058016,    0.934,
        23.4000,  -4.053720,    0.938,
        23.4500,  -4.049582,    0.941,
        23.5000,  -4.045410,    0.945,
        23.5500,  -4.041190,    0.949,
        23.6000,  -4.036932,    0.953,
        23.6500,  -4.032835,    0.957,
        23.7000,  -4.028704,    0.961,
        23.7500,  -4.024552,    0.965,
        23.8000,  -4.020426,    0.969,
        23.8500,  -4.016194,    0.973,
        23.9000,  -4.012086,    0.977,
        23.9500,  -4.007968,    0.980,
        24.0000,  -4.003673,    0.984,
        24.0500,  -3.999715,    0.988,
        24.1000,  -3.995254,    0.993,
        24.1500,  -3.991113,    0.996,
        24.2000,  -3.986955,    1.000,
        24.2500,  -3.982817,    1.003,
        24.3000,  -3.978724,    1.007,
        24.3500,  -3.974578,    1.012,
        24.4000,  -3.970371,    1.016,
        24.4500,  -3.966210,    1.020,
        24.5000,  -3.962143,    1.024,
        24.5500,  -3.957881,    1.028,
        24.6000,  -3.953785,    1.032,
        24.6500,  -3.949420,    1.037,
        24.7000,  -3.945296,    1.041,
        24.7500,  -3.941240,    1.045,
        24.8000,  -3.936932,    1.049,
        24.8500,  -3.932810,    1.054,
        24.9000,  -3.928776,    1.058,
        24.9500,  -3.924607,    1.062,
        25.0000,  -3.920299,    1.066,
        25.0500,  -3.916247,    1.070,
        25.1000,  -3.912034,    1.075,
        25.1500,  -3.907963,    1.079,
        25.2000,  -3.903664,    1.084,
        25.2500,  -3.899460,    1.089,
        25.3000,  -3.895371,    1.093,
        25.3500,  -3.891037,    1.098,
        25.4000,  -3.887105,    1.102,
