time,Force,Displacement
         8.3500,  -5.308337,    0.182,
         8.4000,  -5.304170,    0.184,
         8.4500,  -5.300002,    0.185,
         8.5000,  -5.295865,    0.186,
         8.5500,  -5.291661,    0.187,
         8.6000,  -5.287526,    0.188,
         8.6500,  -5.283422,    0.189,
         8.7000,  -5.279248,    0.190,
         8.7500,  -5.275085,    0.191,
         8.8000,  -5.270932,    0.192,
         8.8500,  -5.266754,    0.193,
         8.9000,  -5.262617,    0.194,
         8.9500,  -5.258384,    0.196,
         9.0000,  -5.254101,    0.197,
         9.0500,  -5.249961,    0.199,
         9.1000,  -5.245821,    0.199,
         9.1500,  -5.241622,    0.201,
         9.2000,  -5.237480,    0.202,
         9.2500,  -5.233358,    0.203,
         9.3000,  -5.229186,    0.204,
         9.3500,  -5.225006,    0.205,
         9.4000,  -5.220851,    0.207,
         9.4500,  -5.216705,    0.207,
         9.5000,  -5.212569,    0.209,
         9.5500,  -5.208420,    0.210,
         9.6000,  -5.204045,    0.211,
         9.6500,  -5.199925,    0.213,
         9.7000,  -5.195777,    0.213,
         9.7500,  -5.191591,    0.215,
         9.8000,  -5.187405,    0.216,
         9.8500,  -5.183314,    0.217,
         9.9000,  -5.179118,    0.219,
         9.9500,  -5.174972,    0.220,
        10.0000,  -5.170817,    0.221,
        10.0500,  -5.166675,    0.222,
        10.1000,  -5.162519,    0.224,
        10.1500,  -5.158388,    0.225,
        10.2000,  -5.154095,    0.226,
        10.2500,  -5.149844,    0.228,
        10.3000,  -5.145728,    0.228,
        10.3500,  -5.141579,    0.230,
        10.4000,  -5.137381,    0.231,
        10.4500,  -5.133257,    0.232,
        10.5000,  -5.129120,    0.234,
        10.5500,  -5.124985,    0.234,
        10.6000,  -5.120802,    0.236,
        10.6500,  -5.116645,    0.237,
        10.7000,  -5.112502,    0.238,
        10.7500,  -5.108348,    0.240,
        10.8000,  -5.104075,    0.241,
        10.8500,  -5.099874,    0.242,
        10.9000,  -5.095680,    0.243,
        10.9500,  -5.091536,    0.245,
        11.0000,  -5.087378,    0.246,
        11.0500,  -5.083215,    0.247,
        11.1000,  -5.079071,    0.249,
        11.1500,  -5.074930,    0.250,
        11.2000,  -5.070780,    0.251,
        11.2500,  -5.066611,    0.252,
        11.3000,  -5.062474,    0.253,
        11.3500,  -5.058312,    0.254,
        11.4000,  -5.054116,    0.255,
        11.4500,  -5.049824,    0.257,
        11.5000,  -5.045671,    0.258,
        11.5500,  -5.041531,    0.259,
        11.6000,  -5.037329,    0.260,
        11.6500,  -5.033233,    0.262,
        11.7000,  -5.029069,    0.263,
        11.7500,  -5.024886,    0.264,
        11.8000,  -5.020766,    0.266,
        11.8500,  -5.016602,    0.266,
        11.9000,  -5.012460,    0.268,
        11.9500,  -5.008283,    0.269,
        12.0000,  -5.004129,    0.270,
        12.0500,  -4.999801,    0.271,
        12.1000,  -4.995631,    0.273,
        12.1500,  -4.991506,    0.274,
        12.2000,  -4.987334,    0.275,
        12.2500,  -4.983175,    0.276,
        12.3000,  -4.979058,    0.278,
        12.3500,  -4.974866,    0.279,
        12.4000,  -4.970735,    0.280,
        12.4500,  -4.966560,    0.281,
        12.5000,  -4.962425,    0.283,
        12.5500,  -4.958274,    0.284,
        12.6000,  -4.954023,    0.285,
        12.6500,  -4.949805,    0.287,
        12.7000,  -4.945638,    0.288,
        12.7500,  -4.941430,    0.289,
        12.8000,  -4.937343,    0.291,
        12.8500,  -4.933166,    0.292,
        12.9000,  -4.928994,    0.293,
        12.9500,  -4.924859,    0.294,
        13.0000,  -4.920691,    0.295,
        13.0500,  -4.916550,    0.297,
        13.1000,  -4.912415,    0.298,
        13.1500,  -4.908264,    0.299,
        13.2000,  -4.904022,    0.301,
        13.2500,  -4.899762,    0.302,
        13.3000,  -4.895592,    0.304,
        13.3500,  -4.891457,    0.305,
