         0.0000,  -5.999796,    0.108,
         0.0500,  -5.999335,    0.108,
         0.1000,  -5.996494,    0.109,
         0.1500,  -5.992638,    0.109,
         0.2000,  -5.988519,    0.110,
         0.2500,  -5.984383,    0.110,
         0.3000,  -5.980177,    0.111,
         0.3500,  -5.976003,    0.111,
         0.4000,  -5.971847,    0.111,
         0.4500,  -5.967665,    0.112,
         0.5000,  -5.963473,    0.112,
         0.5500,  -5.959305,    0.112,
         0.6000,  -5.955131,    0.113,
         0.6500,  -5.950963,    0.113,
         0.7000,  -5.946799,    0.114,
         0.7500,  -5.942605,    0.114,
         0.8000,  -5.938421,    0.114,
         0.8500,  -5.934118,    0.115,
         0.9000,  -5.929900,    0.115,
         0.9500,  -5.925754,    0.116,
         1.0000,  -5.921585,    0.116,
         1.0500,  -5.917465,    0.116,
         1.1000,  -5.913200,    0.117,
         1.1500,  -5.909088,    0.117,
         1.2000,  -5.904923,    0.117,
         1.2500,  -5.900766,    0.117,
         1.3000,  -5.896600,    0.118,
         1.3500,  -5.892417,    0.118,
         1.4000,  -5.888281,    0.118,
         1.4500,  -5.884106,    0.119,
         1.5000,  -5.879952,    0.119,
         1.5500,  -5.875680,    0.119,
         1.6000,  -5.871426,    0.120,
         1.6500,  -5.867284,    0.120,
         1.7000,  -5.863070,    0.120,
         1.7500,  -5.858945,    0.121,
         1.8000,  -5.854781,    0.121,
         1.8500,  -5.850587,    0.121,
         1.9000,  -5.846429,    0.121,
         1.9500,  -5.842263,    0.121,
         2.0000,  -5.838146,    0.122,
         2.0500,  -5.833943,    0.122,
         2.1000,  -5.829810,    0.122,
         2.1500,  -5.825657,    0.123,
         2.2000,  -5.821479,    0.123,
         2.2500,  -5.817245,    0.123,
         2.3000,  -5.813009,    0.123,
         2.3500,  -5.808813,    0.123,
         2.4000,  -5.804622,    0.124,
         2.4500,  -5.800473,    0.124,
         2.5000,  -5.796326,    0.125,
         2.5500,  -5.792192,    0.125,
         2.6000,  -5.788001,    0.125,
         2.6500,  -5.783855,    0.125,
         2.7000,  -5.779657,    0.126,
         2.7500,  -5.775535,    0.126,
         2.8000,  -5.771375,    0.127,
         2.8500,  -5.767237,    0.127,
         2.9000,  -5.763057,    0.127,
         2.9500,  -5.758894,    0.127,
         3.0000,  -5.754615,    0.127,
         3.0500,  -5.750369,    0.128,
         3.1000,  -5.746226,    0.128,
         3.1500,  -5.742071,    0.128,
         3.2000,  -5.737896,    0.129,
         3.2500,  -5.733755,    0.129,
         3.3000,  -5.729640,    0.129,
         3.3500,  -5.725444,    0.130,
         3.4000,  -5.721298,    0.130,
         3.4500,  -5.717116,    0.130,
         3.5000,  -5.712976,    0.131,
         3.5500,  -5.708811,    0.131,
         3.6000,  -5.704668,    0.131,
         3.6500,  -5.700489,    0.132,
         3.7000,  -5.696211,    0.132,
         3.7500,  -5.692016,    0.133,
         3.8000,  -5.687814,    0.133,
         3.8500,  -5.683677,    0.133,
         3.9000,  -5.679509,    0.133,
         3.9500,  -5.675356,    0.134,
         4.0000,  -5.671242,    0.134,
         4.0500,  -5.667045,    0.134,
         4.1000,  -5.662909,    0.135,
         4.1500,  -5.658723,    0.135,
         4.2000,  -5.654564,    0.136,
         4.2500,  -5.650421,    0.136,
         4.3000,  -5.646278,    0.136,
         4.3500,  -5.642091,    0.137,
         4.4000,  -5.637804,    0.137,
         4.4500,  -5.633601,    0.137,
         4.5000,  -5.629453,    0.138,
         4.5500,  -5.625290,    0.138,
         4.6000,  -5.621122,    0.138,
         4.6500,  -5.617013,    0.139,
         4.7000,  -5.612809,    0.139,
         4.7500,  -5.608673,    0.140,
         4.8000,  -5.604512,    0.140,
         4.8500,  -5.600359,    0.140,
         4.9000,  -5.596217,    0.140,
         4.9500,  -5.592029,    0.142,
         5.0000,  -5.587883,    0.142,
         5.0500,  -5.583670,    0.142,
         5.1000,  -5.579413,    0.142,
         5.1500,  -5.575226,    0.143,
         5.2000,  -5.571062,    0.143,
         5.2500,  -5.566875,    0.144,
         5.3000,  -5.562742,    0.144,
         5.3500,  -5.558601,    0.144,
         5.4000,  -5.554425,    0.145,
         5.4500,  -5.550297,    0.145,
         5.5000,  -5.546142,    0.146,
         5.5500,  -5.541994,    0.146,
         5.6000,  -5.537827,    0.146,
         5.6500,  -5.533676,    0.147,
         5.7000,  -5.529482,    0.147,
         5.7500,  -5.525201,    0.148,
         5.8000,  -5.521016,    0.148,
         5.8500,  -5.516863,    0.149,
         5.9000,  -5.512716,    0.149,
         5.9500,  -5.508538,    0.150,
         6.0000,  -5.504374,    0.150,
         6.0500,  -5.500232,    0.150,
         6.1000,  -5.496080,    0.151,
         6.1500,  -5.491910,    0.152,
         6.2000,  -5.487763,    0.152,
         6.2500,  -5.483639,    0.153,
         6.3000,  -5.479424,    0.153,
         6.3500,  -5.475309,    0.154,
         6.4000,  -5.471001,    0.154,
         6.4500,  -5.466793,    0.154,
         6.5000,  -5.462645,    0.155,
         6.5500,  -5.458496,    0.156,
         6.6000,  -5.454312,    0.157,
         6.6500,  -5.450183,    0.157,
         6.7000,  -5.446011,    0.158,
         6.7500,  -5.441864,    0.158,
         6.8000,  -5.437719,    0.159,
         6.8500,  -5.433562,    0.159,
         6.9000,  -5.429402,    0.159,
         6.9500,  -5.425273,    0.160,
         7.0000,  -5.421088,    0.161,
         7.0500,  -5.416785,    0.161,
         7.1000,  -5.412570,    0.162,
         7.1500,  -5.408441,    0.163,
         7.2000,  -5.404263,    0.163,
         7.2500,  -5.400146,    0.164,
         7.3000,  -5.395926,    0.165,
